Away,Home,Date,Crew,Accepted,Yards,aCount,aYards,hCount,hYards,total
Detroit,Kansas City,9/7/2023,John Hussey,7,88,4,63,3,25,11
Houston,Baltimore,9/10/2023,Tra Blake,22,194,9,88,13,106,24
Las Vegas,Denver,9/10/2023,Bill Vinovich,20,180,10,97,10,83,20
San Francisco,Pittsburgh,9/10/2023,Alex Kemp,17,145,11,85,6,60,19
Arizona,Washington,9/10/2023,Alan Eck,17,191,9,122,8,69,19
Green Bay,Chicago,9/10/2023,Craig Wrolstad,16,151,9,90,7,61,21
Carolina,Atlanta,9/10/2023,Brad Rogers,15,109,9,66,6,43,18
LA Rams,Seattle,9/10/2023,Shawn Smith,14,108,7,53,7,55,16
Tennessee,New Orleans,9/10/2023,Ron Torbert,13,90,6,45,7,45,16
Miami,LA Chargers,9/10/2023,Brad Allen,12,108,6,38,6,70,14
Philadelphia,New England,9/10/2023,Shawn Hochuli,12,99,5,49,7,50,13
Dallas,N.Y. Giants,9/10/2023,Adrian Hill,11,107,5,35,6,72,13
Cincinnati,Cleveland,9/10/2023,Clete Blakeman,9,63,4,20,5,43,11
Tampa Bay,Minnesota,9/10/2023,Scott Novak,9,64,3,19,6,45,12
Jacksonville,Indianapolis,9/10/2023,Clay Martin,8,80,4,45,4,35,9
Buffalo,N.Y. Jets,9/11/2023,Carl Cheffers,7,50,5,40,2,10,11
Minnesota,Philadelphia,9/14/2023,Clay Martin,9,60,2,15,7,45,9
N.Y. Giants,Arizona,9/17/2023,Land Clark,17,132,9,75,8,57,18
Washington,Denver,9/17/2023,Brad Rogers,17,129,8,71,9,58,19
Kansas City,Jacksonville,9/17/2023,Adrian Hill,14,104,12,94,2,10,19
Green Bay,Atlanta,9/17/2023,Tra Blake,13,150,7,40,6,110,15
Seattle,Detroit,9/17/2023,Alex Kemp,13,104,9,80,4,24,18
Chicago,Tampa Bay,9/17/2023,Bill Vinovich,12,82,5,28,7,54,14
San Francisco,LA Rams,9/17/2023,Brad Allen,12,112,6,57,6,55,13
Baltimore,Cincinnati,9/17/2023,Shawn Hochuli,11,86,6,56,5,30,12
Indianapolis,Houston,9/17/2023,Carl Cheffers,11,62,8,42,3,20,13
LA Chargers,Tennessee,9/17/2023,Alan Eck,11,88,4,43,7,45,13
N.Y. Jets,Dallas,9/17/2023,Clete Blakeman,11,67,5,29,6,38,16
Miami,New England,9/17/2023,Shawn Smith,11,91,6,46,5,45,12
Las Vegas,Buffalo,9/17/2023,Craig Wrolstad,6,60,2,30,4,30,11
Cleveland,Pittsburgh,9/18/2023,Ron Torbert,13,112,8,81,5,31,15
New Orleans,Carolina,9/18/2023,Scott Novak,9,67,3,32,6,35,10
N.Y. Giants,San Francisco,9/21/2023,Shawn Hochuli,12,108,6,37,6,71,19
Carolina,Seattle,9/24/2023,Ron Torbert,21,164,13,82,8,82,23
Dallas,Arizona,9/24/2023,Alex Kemp,21,176,13,107,8,69,28
